104-A-bug-11691772-11691810,10,2042,20,14,13,29,29,3,3
104-A-bug-11691779-11691810,10,5820,11,6,5,48,48,2,2
104-A-bug-11691794-11691810,10,42,20,17,17,32,28,5,5
104-A-bug-11939068-11939085,10,5700,15,7,6,47,47,2,2
104-A-bug-13139540-13139570,10,48,20,18,18,32,32,5,5
104-A-bug-14940180-14940203,10,5759,15,9,9,48,48,2,2
104-A-bug-7900405-7900409,10,5995,15,7,7,48,48,2,2
110-A-bug-17970724-17970798,10,59,20,16,9,41,33,8,2
110-A-bug-17999868-17999967,10,44,20,13,11,41,33,7,2
110-A-bug-17999892-17999967,10,8167,14,1478,4,42,32,10,0
110-A-bug-18060949-18061008,10,78,20,27,10,41,34,8,2
110-A-bug-18223116-18223122,10,6449,9,458,4,38,28,13,3
110-A-bug-18286939-18287093,10,28,20,18,18,38,36,6,4
110-A-bug-18286951-18287093,10,29,20,17,17,38,36,6,4
112-B-bug-1097813-1097818,10,67,20,0,0,38,25,14,3
112-B-bug-668250-668255,10,408,20,18,18,36,22,2,2
112-B-bug-770703-770719,10,103,20,0,0,42,35,5,4
112-B-bug-861875-861881,10,235,20,19,16,36,22,13,13
113-C-bug-683942-684032,10,34,20,11,11,66,57,4,2
113-C-bug-684028-684032,10,35,20,16,16,91,79,6,6
118-D-bug-6014277-6014404,10,351,20,19,16,47,45,10,8
118-D-bug-6014278-6014404,10,230,20,14,14,47,46,10,10
118-D-bug-746182-746641,10,160,20,21,17,47,45,10,8
118-D-bug-989663-989669,10,214,20,19,16,47,47,10,10
118-D-bug-989666-989669,10,238,20,33,15,46,42,16,14
119-A-bug-16521182-16521266,10,62,20,11,5,49,39,12,2
119-A-bug-16665499-16665611,10,28,20,12,11,48,37,14,12
11-B-bug-990723-990735,10,281,20,18,13,34,34,3,3
121-C-bug-804156-804907,10,5259,20,9,7,68,66,3,2
122-A-bug-17968034-17968373,10,327,20,11,1,62,60,4,2
122-A-bug-18015599-18015631,10,6012,8,82,1,44,44,3,3
122-A-bug-18026330-18026493,10,9013,9,1193,2,40,28,15,3
122-A-bug-18122874-18122948,10,7395,10,317,2,40,36,7,3
122-A-bug-18122909-18122948,10,2335,20,70,8,69,67,4,2
122-A-bug-18209616-18209912,10,5832,9,19,1,44,41,6,3
122-A-bug-18209760-18209912,10,5877,9,13,1,44,41,6,3
122-A-bug-18209773-18209912,10,5863,11,8,2,62,60,4,2
122-A-bug-18230727-18230742,10,173,20,119,11,40,29,13,3
122-A-bug-18280368-18280476,10,6336,14,125,3,62,60,4,2
122-C-bug-8904375-8904400,10,34,20,17,16,43,25,29,17
124-A-bug-16748308-16749061,10,21,20,20,19,54,32,32,32
124-A-bug-17030725-17030795,10,31,20,16,14,55,35,30,19
124-A-bug-17030750-17030795,10,37,20,17,14,53,37,34,34
124-A-bug-17380518-17380581,10,32,20,15,14,55,34,16,9
124-A-bug-17548415-17548499,10,26,20,13,12,55,37,16,12
124-A-bug-17684079-17684114,10,36,20,21,17,55,30,16,16
124-A-bug-18071122-18071213,10,20,20,20,20,53,47,47,47
124-A-bug-18216134-18216197,10,28,20,16,15,53,38,35,30
129-E-bug-7156869-7156872,10,297,20,40,15,66,47,29,10
131-C-bug-7900700-7900757,10,58,20,17,13,47,26,26,10
131-C-bug-8286919-8286937,10,53,20,15,13,47,39,26,22
136-B-bug-3414703-3414706,10,25,20,20,18,105,104,101,101
140-A-bug-10658248-10658284,10,66,20,6,6,54,52,2,2
140-A-bug-13617983-13618000,10,119,20,0,0,52,49,2,2
141-B-bug-10646503-10646512,10,94,20,6,3,153,150,4,3
141-B-bug-12854738-12854834,10,75,20,1,1,286,279,3,2
141-B-bug-12854753-12854834,10,1351,20,37,7,293,291,2,2
141-B-bug-12854822-12854834,10,660,20,11,5,264,262,5,3
142-B-bug-1041991-1042009,10,1034,20,30,4,159,153,7,2
142-B-bug-1042002-1042009,10,66,20,10,10,157,142,21,21
142-B-bug-1705195-1705323,10,91,20,16,10,159,151,15,10
146-B-bug-1113178-1113179,10,157,20,10,8,52,45,10,3
146-B-bug-1117801-1117804,10,96,13,7,2,47,40,9,2
146-B-bug-1117802-1117804,10,104,11,2,1,48,44,4,2
146-B-bug-1126989-1126997,10,110,9,7,0,47,41,9,3
146-B-bug-1147707-1147719,10,99,13,4,1,47,40,9,2
146-B-bug-11540306-11540317,10,98,8,1,1,47,40,9,2
146-B-bug-1237616-1237618,10,87,13,4,3,47,40,9,2
146-B-bug-16622388-16622448,10,25,20,17,16,51,51,10,10
146-B-bug-17886329-17886431,10,421,20,13,10,74,73,3,2
146-B-bug-17968152-17968166,10,177,13,8,1,47,40,9,2
146-B-bug-2035917-2035968,10,127,16,15,13,51,21,7,6
146-B-bug-3823679-3823682,10,90,12,6,3,47,40,9,2
151-A-bug-17251538-17251548,10,25,20,14,10,31,17,15,10
151-A-bug-17395141-17395169,10,46,20,0,0,54,22,2,2
151-A-bug-17894582-17894687,10,41,20,11,8,31,21,9,6
151-A-bug-17894633-17894687,10,292,20,71,16,31,20,9,7
151-A-bug-17894679-17894708,10,160,20,0,0,42,33,4,3
165-B-bug-10694756-10694905,10,43,20,16,14,77,75,6,6
165-B-bug-11900403-11900412,10,32,20,17,17,76,66,6,6
166-E-bug-10326734-10326753,10,140,20,18,18,40,40,10,10
166-E-bug-4707989-4708049,10,37,20,17,17,48,48,26,26
168-A-bug-11849242-11849321,10,28,20,18,18,47,44,13,10
168-A-bug-13501212-13501266,10,93,20,7,6,84,84,2,2
168-A-bug-13551581-13551590,10,42,20,18,18,47,47,31,31
168-A-bug-13674183-13674276,10,24,20,19,17,45,42,13,10
168-A-bug-13674234-13674276,10,41,20,17,17,46,43,13,10
168-A-bug-13795832-13795874,10,25,20,17,17,47,47,13,13
168-A-bug-14134724-14134733,10,41,20,13,8,47,25,24,7
168-A-bug-14205729-14205756,10,21,20,18,18,47,39,13,13
168-A-bug-14205741-14205756,10,182,20,11,7,50,47,3,3
168-A-bug-14356496-14356592,10,24,20,17,17,46,46,13,13
168-A-bug-14356546-14356571,10,26,20,18,17,46,41,15,10
168-A-bug-15592675-15592693,10,26,20,19,18,47,47,13,13
168-A-bug-16455797-16455811,10,20,20,20,20,46,46,46,46
168-A-bug-16670410-16670443,10,27,20,19,16,47,28,13,6
168-A-bug-17083755-17083776,10,31,20,18,18,47,38,13,13
168-A-bug-9305925-9305966,10,421,20,40,8,84,84,2,2
171-A-bug-15452830-15452852,10,34,20,10,9,48,46,2,2
171-A-bug-17173445-17173460,10,20,20,20,20,45,45,45,45
171-B-bug-1458594-1458980,10,20,20,20,20,41,40,40,40
171-B-bug-1463121-1463124,10,59,20,18,17,49,48,9,8
171-B-bug-14762016-14762649,10,22,20,18,18,44,40,38,38
171-B-bug-1903679-1903682,10,20,20,20,20,42,42,42,42
171-B-bug-1996186-1996190,10,20,20,20,20,42,39,39,39
171-B-bug-1996188-1996190,10,20,20,19,19,42,34,41,33
171-D-bug-15495798-15495818,10,5910,16,14,14,9,9,2,2
