104-A-bug-11691772-11691810,10,2245,14,89,6,29,28,3,2
104-A-bug-11691779-11691810,10,2235,11,5,2,48,48,2,2
104-A-bug-11691794-11691810,10,41,20,17,17,32,31,5,4
104-A-bug-11939068-11939085,10,2190,13,3,2,47,47,2,2
104-A-bug-13139540-13139570,10,44,20,17,17,32,29,5,5
104-A-bug-14940180-14940203,10,2215,11,4,4,48,48,2,2
104-A-bug-7900405-7900409,10,2228,9,4,4,48,48,2,2
110-A-bug-17970724-17970798,10,49,20,15,10,41,34,8,2
110-A-bug-17999868-17999967,10,51,20,17,10,41,35,7,2
110-A-bug-17999892-17999967,10,2261,3,389,0,42,32,10,0
110-A-bug-18060949-18061008,10,76,20,18,11,41,34,8,2
110-A-bug-18223116-18223122,10,118,20,12,7,38,27,13,3
110-A-bug-18286939-18287093,10,24,20,18,18,38,26,6,6
110-A-bug-18286951-18287093,10,27,20,18,17,38,26,6,6
112-B-bug-1097813-1097818,10,104,20,0,1,38,25,14,3
112-B-bug-668250-668255,10,336,20,17,17,36,22,2,2
112-B-bug-770703-770719,10,2119,19,4,0,42,39,5,2
112-B-bug-861875-861881,10,177,20,19,18,36,22,13,13
113-C-bug-683942-684032,10,41,20,15,14,66,63,4,2
113-C-bug-684028-684032,10,37,20,18,17,91,77,6,6
118-D-bug-6014277-6014404,10,451,20,19,16,47,47,10,10
118-D-bug-6014278-6014404,10,297,20,19,16,47,45,10,8
118-D-bug-746182-746641,10,198,20,20,17,47,45,10,8
118-D-bug-989663-989669,10,270,20,21,16,47,47,10,10
118-D-bug-989666-989669,10,187,20,22,11,46,41,16,14
119-A-bug-16521182-16521266,10,44,20,5,4,49,32,12,6
119-A-bug-16665499-16665611,10,55,20,15,9,48,35,14,4
11-B-bug-990723-990735,10,330,20,22,15,34,34,3,3
121-C-bug-804156-804907,10,2256,11,2,2,68,66,3,2
122-A-bug-17968034-17968373,10,2291,10,72,2,62,60,4,2
122-A-bug-18015599-18015631,10,2266,7,26,1,44,44,3,3
122-A-bug-18026330-18026493,10,1138,20,165,6,40,28,15,3
122-A-bug-18122874-18122948,10,2166,13,73,3,40,37,7,4
122-A-bug-18122909-18122948,10,2203,12,49,7,69,67,4,2
122-A-bug-18209616-18209912,10,2292,6,8,1,44,41,6,3
122-A-bug-18209760-18209912,10,2276,4,6,0,44,41,6,3
122-A-bug-18209773-18209912,10,2205,9,1,0,62,60,4,2
122-A-bug-18230727-18230742,10,24,20,15,14,40,18,13,13
122-A-bug-18280368-18280476,10,2302,9,44,3,62,60,4,2
122-C-bug-8904375-8904400,10,29,20,14,14,43,34,29,29
124-A-bug-16748308-16749061,10,20,20,20,20,54,32,32,32
124-A-bug-17030725-17030795,10,31,20,15,13,55,39,30,30
124-A-bug-17030750-17030795,10,47,20,24,17,53,22,34,5
124-A-bug-17380518-17380581,10,38,20,20,17,55,27,16,16
124-A-bug-17548415-17548499,10,40,20,21,16,55,40,16,13
124-A-bug-17684079-17684114,10,34,20,16,14,55,29,16,10
124-A-bug-18071122-18071213,10,20,20,20,20,53,47,47,47
124-A-bug-18216134-18216197,10,31,20,17,16,53,36,35,33
129-E-bug-7156869-7156872,10,375,20,49,18,66,50,29,13
131-C-bug-7900700-7900757,10,105,20,29,14,47,23,26,4
131-C-bug-8286919-8286937,10,30,20,13,13,47,28,26,7
136-B-bug-3414703-3414706,10,20,20,16,16,105,101,101,101
140-A-bug-10658248-10658284,10,57,20,7,7,54,54,2,2
140-A-bug-13617983-13618000,10,379,20,2,1,52,52,2,2
141-B-bug-10646503-10646512,10,110,20,3,2,153,108,4,3
141-B-bug-12854738-12854834,10,163,20,5,2,286,227,3,2
141-B-bug-12854753-12854834,10,578,20,17,4,293,293,2,2
141-B-bug-12854822-12854834,10,1064,20,7,3,264,262,5,3
142-B-bug-1041991-1042009,10,827,20,30,5,159,152,7,2
142-B-bug-1042002-1042009,10,85,20,16,13,157,144,22,10
142-B-bug-1705195-1705323,10,44,20,14,11,159,134,15,11
146-B-bug-1113178-1113179,10,800,20,30,8,52,44,10,2
146-B-bug-1117801-1117804,10,105,14,17,7,47,37,9,2
146-B-bug-1117802-1117804,10,104,9,0,0,48,46,4,2
146-B-bug-1126989-1126997,10,119,6,2,1,47,40,9,2
146-B-bug-1147707-1147719,10,111,7,5,0,47,41,9,3
146-B-bug-11540306-11540317,10,107,10,0,0,47,40,9,2
146-B-bug-1237616-1237618,10,114,6,2,0,47,40,9,2
146-B-bug-16622388-16622448,10,21,20,18,18,51,51,10,10
146-B-bug-17886329-17886431,10,1602,20,48,1,74,68,4,0
146-B-bug-17968152-17968166,10,144,20,22,7,47,40,9,2
146-B-bug-2035917-2035968,10,142,13,13,7,51,45,7,2
146-B-bug-3823679-3823682,10,98,17,6,4,47,39,9,2
151-A-bug-17251538-17251548,10,26,20,13,9,31,23,15,10
151-A-bug-17395141-17395169,10,133,20,0,0,54,28,2,2
151-A-bug-17894582-17894687,10,42,20,11,7,31,19,9,4
151-A-bug-17894633-17894687,10,42,20,13,5,31,9,9,7
151-A-bug-17894679-17894708,10,431,20,6,0,42,25,4,3
165-B-bug-10694756-10694905,10,44,20,20,14,77,71,6,6
165-B-bug-11900403-11900412,10,39,20,19,15,76,66,6,6
166-E-bug-10326734-10326753,10,81,20,18,18,40,40,10,10
166-E-bug-4707989-4708049,10,35,20,18,18,48,48,26,26
168-A-bug-11849242-11849321,10,30,20,18,18,47,47,13,13
168-A-bug-13501212-13501266,10,2326,13,172,3,84,84,2,2
168-A-bug-13551581-13551590,10,29,20,17,17,47,47,31,31
168-A-bug-13674183-13674276,10,26,20,17,17,45,42,13,10
168-A-bug-13674234-13674276,10,29,20,18,18,46,38,13,13
168-A-bug-13795832-13795874,10,36,20,20,18,47,44,13,10
168-A-bug-14134724-14134733,10,64,20,21,16,47,27,24,6
168-A-bug-14205729-14205756,10,31,20,17,17,47,38,13,13
168-A-bug-14205741-14205756,10,172,20,12,6,50,49,3,2
168-A-bug-14356496-14356592,10,33,20,18,17,46,44,13,11
168-A-bug-14356546-14356571,10,22,20,17,17,46,41,15,15
168-A-bug-15592675-15592693,10,26,20,18,16,47,43,13,13
168-A-bug-16455797-16455811,10,20,20,20,20,46,46,46,46
168-A-bug-16670410-16670443,10,39,20,24,14,47,29,13,10
168-A-bug-17083755-17083776,10,25,20,16,16,47,43,13,13
168-A-bug-9305925-9305966,10,108,20,16,6,84,78,2,2
171-A-bug-15452830-15452852,10,53,20,16,12,48,48,2,2
171-A-bug-17173445-17173460,10,20,20,20,20,45,45,45,45
171-B-bug-1458594-1458980,10,20,20,19,19,41,41,40,40
171-B-bug-1463121-1463124,10,59,20,22,18,49,48,9,8
171-B-bug-14762016-14762649,10,32,20,17,17,44,42,38,38
171-B-bug-1903679-1903682,10,20,20,20,20,42,42,42,42
171-B-bug-1996186-1996190,10,22,20,21,19,42,42,39,39
171-B-bug-1996188-1996190,10,21,20,19,19,42,34,41,33
171-D-bug-15495798-15495818,10,4082,15,11,11,9,9,2,2
171-D-bug-15508628-15508642,10,2333,10,4,4,9,9,2,2
171-D-bug-5093365-5093369,10,2286,13,6,6,9,9,2,2
171-D-bug-6192796-6192802,10,994,20,18,14,6,6,2,2
171-F-bug-5237750-5237782,10,24,20,17,17,51,41,30,30
171-F-bug-5237777-5237782,10,37,20,30,18,51,42,30,21
172-B-bug-1470030-1470076,10,20,20,20,20,66,38,38,38
172-B-bug-2096087-2096089,10,237,20,26,2,60,59,6,5
172-B-bug-5785935-5785981,10,20,20,18,18,66,38,6,5
177-B1-bug-13511622-13511662,10,210,20,28,13,34,32,7,5
177-B1-bug-3817879-3817882,10,21,20,14,14,34,17,7,7
177-B2-bug-1597105-1597275,10,2202,14,16,3,83,82,3,2
17-A-bug-12616724-12616752,10,259,20,11,9,49,43,8,2
17-A-bug-13897450-13897498,10,37,20,17,15,67,65,4,2
17-A-bug-15278247-15278302,10,25,20,18,16,67,7,2,2
17-A-bug-6612498-6612508,10,2289,11,0,0,42,40,4,2
17-A-bug-8358953-8359086,10,21,20,17,16,67,62,2,2
17-A-bug-9594458-9594472,10,1190,20,8,4,43,40,5,2
185-A-bug-1914012-1914022,10,56,20,19,18,52,50,21,19
189-A-bug-17294544-17294560,10,26,20,15,15,65,36,12,7
189-A-bug-18155547-18155577,10,25,20,16,14,63,41,43,25
189-B-bug-1682083-1682218,10,59,20,33,18,31,19,22,10
189-B-bug-17295034-17295064,10,24,20,17,17,30,23,21,16
189-B-bug-1813700-1813718,10,44,20,26,10,27,20,13,11
189-B-bug-18252831-18252846,10,24,20,17,14,30,13,9,7
18-B-bug-15989356-15989429,10,108,20,13,6,45,34,12,2
194-A-bug-13226735-13226747,10,33,20,17,17,44,38,19,13
194-A-bug-15491486-15491518,10,1939,20,25,11,43,31,14,2
194-A-bug-7939649-7939655,10,33,20,18,18,44,39,19,14
198-A-bug-9617580-9617604,10,439,11,10,0,125,106,20,6
198-A-bug-9623083-9623097,10,1021,15,46,2,125,104,20,4
198-A-bug-9624645-9624725,10,47,20,13,10,189,180,13,8
198-A-bug-9683801-9684235,10,1127,13,50,0,125,107,20,2
198-A-bug-9705111-9705146,10,765,12,47,0,125,100,26,2
1-A-bug-18353198-18353306,10,23,20,18,18,29,29,5,5
201-A-bug-15335569-15335588,10,24,20,17,17,109,105,2,2
201-A-bug-1881498-1881520,10,2222,16,8,8,107,107,2,2
201-A-bug-1881517-1881520,10,1944,20,205,15,104,85,22,3
202-C-bug-1847611-1847612,10,2110,20,11,11,107,107,2,2
203-A-bug-16588171-16589375,10,534,20,3,0,95,94,3,2
203-A-bug-8218947-8218974,10,38,20,9,8,54,44,16,6
204-A-bug-10222131-10222140,10,20,20,19,19,69,66,31,28
204-A-bug-1996403-1996411,10,61,20,17,11,76,74,3,2
204-A-bug-2022696-2022698,10,84,20,13,9,72,62,10,2
214-A-bug-15257318-15257535,10,1692,20,23,14,66,66,2,2
214-A-bug-15386379-15386411,10,2320,18,11,7,66,66,2,2
214-A-bug-16587662-16587713,10,1619,20,18,3,58,57,4,3
214-A-bug-17293419-17293448,10,2130,19,14,13,66,64,3,2
214-A-bug-18162404-18162485,10,1852,20,10,10,65,65,2,2
216-A-bug-12677176-12677205,10,20,20,20,20,41,40,40,40
216-A-bug-5868432-5868621,10,20,20,20,20,43,31,31,31
216-A-bug-6609343-6609404,10,20,20,20,20,43,25,25,25
216-A-bug-9345653-9345865,10,20,20,20,20,42,40,40,40
216-A-bug-9373680-9373783,10,20,20,20,20,42,40,40,40
216-A-bug-9373751-9373783,10,20,20,20,20,43,31,31,31
216-A-bug-9879672-9880150,10,20,20,20,20,41,40,40,40
216-A-bug-9879712-9880150,10,20,20,20,20,42,31,31,31
216-A-bug-9879753-9880150,10,20,20,20,20,41,39,39,39
216-A-bug-9880086-9880150,10,20,20,20,20,43,31,31,31
219-B-bug-2174606-2174633,10,24,20,18,18,105,86,86,86
219-B-bug-2379876-2379955,10,99,20,20,11,195,193,5,3
221-B-bug-3805733-3805812,10,770,20,19,13,42,38,7,3
221-B-bug-3805744-3805812,10,2325,7,29,1,43,40,5,2
224-A-bug-17312870-17312897,10,20,20,18,18,30,30,28,28
224-A-bug-17924263-17924268,10,471,20,101,17,38,38,3,3
226-A-bug-2300522-2300539,10,52,20,15,15,125,125,32,32
228-A-bug-17177587-17196475,10,4079,7,6,4,41,33,7,7
228-A-bug-17396874-17396905,10,100,20,9,6,37,12,26,2
228-A-bug-18047603-18047609,10,267,20,19,2,39,34,7,2
228-A-bug-18063728-18063771,10,4566,2,122,0,37,33,13,9
233-B-bug-2440068-2440084,10,2273,9,168,4,52,36,18,2
233-B-bug-4947545-4947552,10,2271,10,74,1,51,21,32,2
235-A-bug-13074317-13074342,10,873,5,46,1,92,77,17,2
236-B-bug-9431370-9431400,10,137,20,14,14,148,148,8,8
237-C-bug-10245549-10245587,10,85,20,20,8,60,47,12,3
244-B-bug-5291533-5291541,10,2309,11,1,1,51,51,2,2
258-B-bug-2810543-2810936,10,2230,9,1039,7,33,5,31,3
261-C-bug-2956488-2956502,10,145,20,8,8,50,46,3,3
268-B-bug-18098312-18098395,10,33,20,18,18,27,27,22,22
26-A-bug-17016643-17016759,10,45,20,18,18,34,34,14,14
271-A-bug-17597303-17597361,10,141,20,15,15,33,33,6,6
271-A-bug-17597337-17597361,10,108,20,14,14,33,33,6,6
271-A-bug-17876739-17876766,10,180,20,16,16,29,29,7,7
271-A-bug-17879735-17879832,10,41,20,14,13,34,34,6,6
271-A-bug-17990046-17990110,10,105,20,15,15,33,31,6,6
271-A-bug-18031969-18031990,10,89,20,16,16,33,31,6,6
271-A-bug-18045921-18045927,10,103,20,12,12,29,24,7,4
271-A-bug-18046060-18046072,10,54,20,19,17,33,32,6,5
271-A-bug-18178942-18178961,10,35,20,18,18,34,24,6,6
271-A-bug-18245137-18245167,10,1870,20,125,13,44,44,2,2
271-A-bug-18358749-18358771,10,122,20,14,14,33,33,6,6
276-D-bug-11924073-11924104,10,23,20,18,17,67,62,47,47
276-D-bug-6167745-6167757,10,125,9,28,7,64,45,23,4
279-A-bug-3499184-3499188,10,20,20,20,20,37,37,37,37
284-A-bug-14681239-14681253,10,2103,18,10,10,44,44,2,2
284-A-bug-16227020-16227051,10,1424,20,16,13,44,44,2,2
284-A-bug-17986776-17986843,10,2219,18,15,12,44,44,2,2
284-A-bug-3360678-3360687,10,35,20,18,18,45,43,2,2
284-A-bug-3415239-3415277,10,222,20,11,10,44,44,2,2
287-B-bug-4160422-4160430,10,2354,7,9,0,42,40,2,0
287-B-bug-4368319-4368323,10,132,20,21,11,35,33,2,2
29-B-bug-14260537-14260580,10,29,20,7,7,53,46,2,2
300-C-bug-7402867-7402950,10,226,20,19,17,35,35,23,23
304-A-bug-14297808-14297827,10,171,20,19,17,63,63,3,3
304-A-bug-14300606-14315458,10,70,20,20,18,63,63,3,3
304-A-bug-14302685-14315458,10,107,20,22,18,63,63,3,3
304-A-bug-14337231-14337294,10,47,20,29,18,35,32,34,31
304-A-bug-14337242-14337292,10,25,20,17,17,35,34,34,34
306-C-bug-4414206-4414213,10,69,20,16,14,43,38,8,8
318-A-bug-17923580-17923594,10,827,20,14,13,32,32,5,5
318-A-bug-18134645-18134661,10,71,20,25,9,24,13,6,2
318-A-bug-18258032-18258084,10,2335,10,2,1,34,33,3,2
320-A-bug-13853886-13855144,10,2353,6,92,0,56,41,15,0
320-A-bug-13868593-13868728,10,690,20,15,13,51,49,4,2
320-A-bug-14193648-14193689,10,2413,5,92,0,57,43,14,0
320-A-bug-16763087-16763591,10,2393,4,95,0,57,42,15,0
320-A-bug-17314140-17314148,10,2280,7,81,0,56,41,15,0
322-B-bug-12162423-12162461,10,2282,18,62,2,74,71,5,2
322-B-bug-9942177-9942192,10,21,20,18,18,44,24,12,12
328-A-bug-4553345-4553356,10,2794,7,1,1,55,49,7,6
333-A-bug-4189205-4189213,10,42,20,29,18,34,28,17,11
337-C-bug-13885430-13885725,10,64,20,13,13,117,115,6,4
337-C-bug-7933461-7933490,10,2292,15,1,0,117,115,6,4
340-A-bug-13332288-13332329,10,310,20,55,13,37,22,13,2
