104-A-bug-11691772-11691810,10,12807,5,555,0,29,26,3,0
104-A-bug-11691779-11691810,10,12550,5,25,0,48,46,2,0
104-A-bug-11691794-11691810,10,28,20,15,15,32,26,5,5
104-A-bug-11939068-11939085,10,13005,6,24,0,47,45,2,0
104-A-bug-13139540-13139570,10,30,20,16,16,32,15,5,5
104-A-bug-14940180-14940203,10,13513,4,26,0,48,46,2,0
104-A-bug-7900405-7900409,10,13167,5,20,0,48,46,2,0
110-A-bug-17970724-17970798,10,137,20,57,9,41,13,8,8
110-A-bug-17999868-17999967,10,13492,5,4307,1,41,34,7,0
110-A-bug-17999892-17999967,10,389,20,70,7,42,32,10,0
110-A-bug-18060949-18061008,10,13133,9,3621,2,41,33,8,0
110-A-bug-18223116-18223122,10,13087,3,892,0,38,25,13,0
110-A-bug-18286939-18287093,10,30,20,18,18,38,36,6,4
110-A-bug-18286951-18287093,10,24,20,17,17,38,36,6,4
112-B-bug-1097813-1097818,10,14866,17,122,0,38,24,14,0
112-B-bug-668250-668255,10,788,20,43,2,36,23,2,2
112-B-bug-770703-770719,10,15082,18,34,0,42,37,5,0
112-B-bug-861875-861881,10,272,20,27,5,36,17,13,12
113-C-bug-683942-684032,10,40,20,16,14,66,55,4,2
113-C-bug-684028-684032,10,35,20,15,14,91,41,6,4
118-D-bug-6014277-6014404,10,38,20,0,0,47,31,10,10
118-D-bug-6014278-6014404,10,39,20,1,1,47,37,10,0
118-D-bug-746182-746641,10,46,20,8,5,47,29,10,10
118-D-bug-989663-989669,10,52,20,5,4,47,34,10,0
118-D-bug-989666-989669,10,60,20,6,6,46,35,16,16
119-A-bug-16521182-16521266,10,51,20,8,2,49,39,12,2
119-A-bug-16665499-16665611,10,41,20,11,9,48,27,14,11
11-B-bug-990723-990735,10,300,20,11,10,34,32,3,3
121-C-bug-804156-804907,10,15127,13,22,0,68,65,3,0
122-A-bug-17968034-17968373,10,12797,6,327,0,62,58,4,0
122-A-bug-18015599-18015631,10,12333,7,182,0,44,41,3,0
122-A-bug-18026330-18026493,10,13062,7,1506,1,40,25,15,0
122-A-bug-18122874-18122948,10,12734,3,482,0,40,33,7,0
122-A-bug-18122909-18122948,10,12895,3,249,0,69,65,4,0
122-A-bug-18209616-18209912,10,13142,3,56,0,44,38,6,0
122-A-bug-18209760-18209912,10,13008,5,33,0,44,38,6,0
122-A-bug-18209773-18209912,10,12798,7,25,0,62,58,4,0
122-A-bug-18230727-18230742,10,28,20,17,11,40,12,13,12
122-A-bug-18280368-18280476,10,13102,7,239,0,62,58,4,0
122-B-bug-1446831-1446834,10,23,20,18,18,46,43,8,5
122-B-bug-5768530-5768538,10,13410,12,909,0,55,50,5,0
122-B-bug-9163596-9163642,10,41,20,18,10,47,14,14,10
122-C-bug-8904375-8904400,10,35,20,14,14,43,30,29,28
124-A-bug-16748308-16749061,10,20,20,20,20,54,32,32,32
124-A-bug-17030725-17030795,10,20,20,15,15,55,30,30,30
124-A-bug-17030750-17030795,10,23,20,13,13,53,34,34,34
124-A-bug-17380518-17380581,10,27,20,15,15,55,33,16,14
124-A-bug-17548415-17548499,10,27,20,16,16,55,16,16,16
124-A-bug-17684079-17684114,10,40,20,14,14,55,45,16,13
124-A-bug-18071122-18071213,10,20,20,20,20,53,47,47,47
124-A-bug-18216134-18216197,10,23,20,14,14,53,46,35,35
129-E-bug-7156869-7156872,10,34,20,7,6,66,52,29,29
131-C-bug-7900700-7900757,10,35,20,10,9,47,33,26,24
131-C-bug-8286919-8286937,10,51,20,17,5,47,21,26,0
136-B-bug-3414703-3414706,10,21,20,16,16,105,85,101,82
140-A-bug-10658248-10658284,10,13809,12,1418,0,54,52,2,0
140-A-bug-13617983-13618000,10,14860,8,18,0,52,50,2,0
141-B-bug-10646503-10646512,10,13016,17,379,0,153,149,4,0
141-B-bug-12854738-12854834,10,15389,14,193,0,286,283,3,0
141-B-bug-12854753-12854834,10,327,20,3,0,293,291,2,0
141-B-bug-12854822-12854834,10,86,20,1,1,264,147,5,0
142-B-bug-1041991-1042009,10,219,20,7,0,159,108,7,2
142-B-bug-1042002-1042009,10,77,20,8,8,157,143,21,9
142-B-bug-1705195-1705323,10,43,20,8,7,159,126,15,11
146-B-bug-1113178-1113179,10,68,20,3,1,52,42,10,0
146-B-bug-1117801-1117804,10,94,14,4,2,47,32,9,6
146-B-bug-1117802-1117804,10,98,16,9,4,48,30,4,1
146-B-bug-1126989-1126997,10,102,10,4,0,47,34,9,0
146-B-bug-1147707-1147719,10,110,7,1,0,47,38,9,0
146-B-bug-11540306-11540317,10,94,11,3,0,47,37,9,0
146-B-bug-1237616-1237618,10,101,11,3,1,47,38,9,3
146-B-bug-16622388-16622448,10,30,20,25,16,51,25,10,1
146-B-bug-17886329-17886431,10,7300,20,223,4,74,54,6,0
146-B-bug-17968152-17968166,10,193,13,6,1,47,38,9,0
146-B-bug-2035917-2035968,10,96,20,15,4,51,19,7,0
146-B-bug-3823679-3823682,10,107,8,5,1,47,41,9,6
151-A-bug-17251538-17251548,10,25,20,10,8,31,10,15,5
151-A-bug-17395141-17395169,10,73,20,0,0,54,50,2,0
