104-A-bug-11691772-11691810,10,335,20,2,2,29,29,3,3
104-A-bug-11691779-11691810,10,2803,10,5,4,48,48,2,2
104-A-bug-11691794-11691810,10,41,20,15,14,32,29,5,5
104-A-bug-11939068-11939085,10,2671,17,5,3,47,47,2,2
104-A-bug-13139540-13139570,10,27,20,18,16,32,28,5,5
104-A-bug-14940180-14940203,10,2905,13,7,5,48,48,2,2
104-A-bug-7900405-7900409,10,2514,7,3,1,48,48,2,2
110-A-bug-17970724-17970798,10,10790,4,3743,0,41,33,8,0
110-A-bug-17999868-17999967,10,74,20,16,6,41,34,7,0
110-A-bug-17999892-17999967,10,82,20,15,7,42,26,10,1
110-A-bug-18060949-18061008,10,115,20,30,7,41,34,8,2
110-A-bug-18223116-18223122,10,3164,8,244,1,38,28,13,3
110-A-bug-18286939-18287093,10,22,20,17,16,38,36,6,4
110-A-bug-18286951-18287093,10,40,20,18,15,38,36,6,4
112-B-bug-1097813-1097818,10,95,20,1,0,38,21,14,3
112-B-bug-668250-668255,10,112,20,5,5,36,22,2,2
112-B-bug-770703-770719,10,45,20,0,0,42,35,5,4
112-B-bug-861875-861881,10,286,20,17,14,36,19,13,7
113-C-bug-683942-684032,10,43,20,19,13,66,63,4,2
113-C-bug-684028-684032,10,31,20,12,11,91,78,6,6
118-D-bug-6014277-6014404,10,213,20,14,8,47,41,10,6
118-D-bug-6014278-6014404,10,53,20,4,3,47,38,10,10
118-D-bug-746182-746641,10,177,20,8,7,47,45,10,8
118-D-bug-989663-989669,10,299,20,20,13,47,47,10,10
118-D-bug-989666-989669,10,316,20,37,14,46,40,16,11
119-A-bug-16521182-16521266,10,37,20,6,4,49,34,12,7
119-A-bug-16665499-16665611,10,37,20,11,7,48,40,14,10
11-B-bug-990723-990735,10,142,20,12,10,34,34,3,3
121-C-bug-804156-804907,10,57,20,0,0,68,65,3,2
122-A-bug-17968034-17968373,10,864,20,14,1,62,60,4,2
122-A-bug-18015599-18015631,10,2834,10,29,1,44,44,3,3
122-A-bug-18026330-18026493,10,221,20,25,4,40,29,15,4
122-A-bug-18122874-18122948,10,2978,15,139,3,40,36,7,3
122-A-bug-18122909-18122948,10,3997,15,85,8,69,67,4,2
122-A-bug-18209616-18209912,10,2860,14,13,2,44,41,6,3
122-A-bug-18209760-18209912,10,2648,16,7,2,44,41,6,3
122-A-bug-18209773-18209912,10,2927,8,3,1,62,60,4,2
122-A-bug-18230727-18230742,10,35,20,20,8,40,26,13,3
122-A-bug-18280368-18280476,10,2948,7,51,1,62,60,4,2
122-C-bug-8904375-8904400,10,29,20,15,15,43,34,29,29
124-A-bug-16748308-16749061,10,21,20,21,18,54,36,32,28
124-A-bug-17030725-17030795,10,40,20,22,16,55,39,30,30
124-A-bug-17030750-17030795,10,23,20,15,13,53,38,34,34
124-A-bug-17380518-17380581,10,34,20,15,9,55,34,16,2
124-A-bug-17548415-17548499,10,24,20,14,12,55,35,16,5
124-A-bug-17684079-17684114,10,22,20,13,13,55,16,16,16
124-A-bug-18071122-18071213,10,22,20,20,17,53,7,47,2
124-A-bug-18216134-18216197,10,25,20,18,14,53,30,35,29
129-E-bug-7156869-7156872,10,151,20,22,12,66,52,29,15
131-C-bug-7900700-7900757,10,70,20,25,12,47,27,26,6
131-C-bug-8286919-8286937,10,52,20,12,8,47,40,26,22
136-B-bug-3414703-3414706,10,21,20,21,18,105,98,101,98
140-A-bug-10658248-10658284,10,93,20,8,0,54,54,2,2
140-A-bug-13617983-13618000,10,45,20,0,0,52,49,2,2
141-B-bug-10646503-10646512,10,48,20,1,0,153,104,4,3
141-B-bug-12854738-12854834,10,77,20,3,1,286,106,3,2
141-B-bug-12854753-12854834,10,130,20,6,5,293,293,2,2
141-B-bug-12854822-12854834,10,312,20,4,3,264,262,5,3
142-B-bug-1041991-1042009,10,51,20,2,2,159,146,7,2
142-B-bug-1042002-1042009,10,57,20,6,6,157,130,21,9
142-B-bug-1705195-1705323,10,52,20,12,8,159,132,15,10
146-B-bug-1113178-1113179,10,138,20,4,4,52,44,10,2
146-B-bug-1117801-1117804,10,94,16,3,0,47,40,9,2
146-B-bug-1117802-1117804,10,94,12,0,0,48,41,4,3
146-B-bug-1126989-1126997,10,104,10,10,1,47,38,9,4
146-B-bug-1147707-1147719,10,94,16,9,2,47,21,9,5
146-B-bug-11540306-11540317,10,74,13,1,1,47,12,9,8
