1-A-bug-18353198-18353306,10,39,20,27,12,29,27,5,3,autogen,NOREPAIR,24.094,,,
104-A-bug-11691772-11691810,10,1201,20,36,0,29,26,3,2,autogen,NOREPAIR,47.472,,,
104-A-bug-11691779-11691810,10,2081,20,3,3,48,46,2,2,autogen,NOREPAIR,40.458,,,
104-A-bug-11691794-11691810,10,37,20,21,14,32,29,5,5,autogen,NOREPAIR,30.757,,,
104-A-bug-11939068-11939085,10,271,20,0,0,47,47,2,2,autogen,NOREPAIR,61.504,,,
104-A-bug-13139540-13139570,10,47,20,22,13,32,30,5,3,autogen,NOREPAIR,25.420,,,
104-A-bug-14940180-14940203,10,11866,9,12,2,48,48,2,2,autogen,NOREPAIR,65.292,,,
104-A-bug-7900405-7900409,10,9123,8,9,0,48,48,2,2,autogen,NOREPAIR,37.653,,,
11-B-bug-990723-990735,10,193,20,5,3,34,30,3,3,autogen,NOREPAIR,340.794,,,
110-A-bug-17970724-17970798,10,15714,7,5192,1,41,33,8,0,autogen,NOREPAIR,538.339,,,
110-A-bug-17999892-17999967,10,74,20,14,3,42,32,10,0,autogen,NOREPAIR,577.883,,,
110-A-bug-18060949-18061008,10,66,20,16,9,41,34,8,2,autogen,NOREPAIR,414.914,,,
110-A-bug-18286939-18287093,10,31,20,22,13,38,36,6,4,autogen,NOREPAIR,289.724,,,
110-A-bug-18286951-18287093,10,110,20,68,12,38,25,6,5,autogen,NOREPAIR,356.234,,,
112-B-bug-1097813-1097818,10,63,20,0,0,38,23,14,7,autogen,NOREPAIR,14.162,,,
112-B-bug-668250-668255,10,129,20,10,8,36,22,2,2,autogen,NOREPAIR,37.034,,,
112-B-bug-770703-770719,10,55,20,0,0,42,27,5,3,autogen,NOREPAIR,22.328,,,
112-B-bug-861875-861881,10,195,20,24,13,36,19,13,7,autogen,NOREPAIR,50.869,,,
113-C-bug-683942-684032,10,56,20,16,1,66,64,4,2,autogen,TIMEOUT,10m,,,
113-C-bug-684028-684032,10,45,20,20,8,91,80,6,3,autogen,TIMEOUT,10m,,,
118-D-bug-6014277-6014404,10,68,20,3,3,47,40,10,10,autogen,????,0.677,,,
118-D-bug-6014278-6014404,10,59,20,0,0,47,47,10,10,autogen,????,0.580,,,
118-D-bug-746182-746641,10,64,20,5,4,47,44,10,7,autogen,????,0.539,,,
118-D-bug-989663-989669,10,234,20,16,11,47,40,10,8,autogen,????,0.406,,,
118-D-bug-989666-989669,10,124,20,14,9,46,43,16,16,autogen,????,0.404,,,
119-A-bug-16521182-16521266,10,39,20,5,2,49,35,12,9,autogen,????,1.023,,,
119-A-bug-16665499-16665611,10,36,20,6,3,48,32,14,4,autogen,????,0.517,,,
121-C-bug-804156-804907,10,47,20,0,1,68,35,3,2,autogen,TIMEOUT,10m,,,
122-A-bug-17968034-17968373,10,103,20,3,2,62,60,4,2,autogen,TIMEOUT,10m,,,
122-A-bug-18015599-18015631,10,11346,7,147,1,44,44,3,3,autogen,NOREPAIR,79.502,,,
122-A-bug-18026330-18026493,10,7841,20,921,6,40,28,15,4,autogen,NOREPAIR,499.810,,,
122-A-bug-18122874-18122948,10,12699,11,426,1,40,36,7,3,autogen,NOREPAIR,411.428,,,
122-A-bug-18122909-18122948,10,1430,20,40,7,69,67,4,2,autogen,NOREPAIR,331.211,,,
122-A-bug-18209616-18209912,10,12694,15,38,4,44,41,6,3,autogen,NOREPAIR,57.414,,,
122-A-bug-18209760-18209912,10,3687,20,8,0,44,41,6,3,autogen,NOREPAIR,48.751,,,
122-A-bug-18209773-18209912,10,10404,16,26,1,62,60,4,2,autogen,NOREPAIR,57.453,,,
122-A-bug-18280368-18280476,10,183,20,1,0,62,60,4,2,autogen,NOREPAIR,241.526,,,
122-C-bug-8904375-8904400,10,30,20,12,10,43,28,29,22,autogen,NOREPAIR,468.003,,,
124-A-bug-16748308-16749061,10,28,20,27,15,54,29,32,28,autogen,NOREPAIR,27.373,,,
124-A-bug-17030725-17030795,10,31,20,15,13,55,31,30,30,autogen,TIMEOUT,10m,,,
124-A-bug-17030750-17030795,10,27,20,14,10,53,37,34,34,autogen,TIMEOUT,10m,,,
124-A-bug-17380518-17380581,10,36,20,15,7,55,42,16,5,autogen,NOREPAIR,11.217,,,
124-A-bug-17548415-17548499,10,23,20,13,11,55,21,16,16,autogen,NOREPAIR,11.386,,,
124-A-bug-17684079-17684114,10,26,20,15,12,55,30,16,16,autogen,NOREPAIR,23.877,,,
124-A-bug-18071122-18071213,10,21,20,21,16,53,50,47,45,autogen,NOREPAIR,24.124,,,
124-A-bug-18216134-18216197,10,37,20,23,12,53,23,35,7,autogen,NOREPAIR,24.342,,,
129-E-bug-7156869-7156872,10,49,20,3,2,66,50,29,13,autogen,????,0.730,,,
131-C-bug-7900700-7900757,10,49,20,16,12,47,24,26,8,autogen,TIMEOUT,10m,,,
131-C-bug-8286919-8286937,10,30,20,13,11,47,40,26,22,autogen,TIMEOUT,10m,,,
136-B-bug-3414703-3414706,10,25,20,21,14,105,5,101,2,autogen,????,0.525,,,
140-A-bug-10658248-10658284,10,40,20,6,6,54,50,2,2,autogen,NOREPAIR,47.140,,,
140-A-bug-13617983-13618000,10,47,20,0,1,52,39,2,2,autogen,NOREPAIR,174.698,,,
141-B-bug-10646503-10646512,10,27,20,1,1,153,73,4,4,autogen,VERIFICATIONFAILED,154.834,,,
141-B-bug-12854738-12854834,10,37,20,1,1,286,215,3,2,autogen,TIMEOUT,10m,,,
141-B-bug-12854753-12854834,10,132,20,4,3,293,277,2,2,autogen,TIMEOUT,10m,,,
141-B-bug-12854822-12854834,10,94,20,0,1,264,231,5,4,autogen,TIMEOUT,10m,,,
142-B-bug-1041991-1042009,10,42,20,0,0,159,152,7,2,autogen,NOREPAIR,82.487,,,
142-B-bug-1042002-1042009,10,109,20,19,7,157,140,21,20,autogen,NOREPAIR,91.834,,,
142-B-bug-1705195-1705323,10,43,20,6,2,159,111,15,4,autogen,NOREPAIR,180.158,,,
146-B-bug-1113178-1113179,10,80,20,0,0,52,44,10,2,autogen,TIMEOUT,10m,,,
146-B-bug-1117801-1117804,10,93,15,6,1,47,41,9,3,autogen,????,50.361,,,
146-B-bug-1117802-1117804,10,115,9,2,0,48,46,4,2,autogen,????,50.305,,,
146-B-bug-11540306-11540317,10,96,14,4,1,47,40,9,2,autogen,????,50.391,,,
146-B-bug-1237616-1237618,10,51,20,1,1,47,34,9,4,autogen,????,50.362,,,
146-B-bug-16622388-16622448,10,40,20,32,13,51,48,10,7,autogen,VERIFICATIONFAILED,414.856,,,
146-B-bug-17886329-17886431,10,91,20,0,0,74,73,3,2,autogen,TIMEOUT,10m,,,
146-B-bug-17968152-17968166,10,172,20,19,1,47,40,9,3,autogen,????,50.477,,,
146-B-bug-2035917-2035968,10,45,20,1,1,51,24,7,5,autogen,????,50.703,,,
151-A-bug-17251538-17251548,10,33,20,20,11,31,21,15,13,autogen,????,0.899,,,
151-A-bug-17395141-17395169,10,29,20,0,0,54,30,2,2,autogen,NOREPAIR,263.465,,,
151-A-bug-17894582-17894687,10,48,20,11,4,31,20,9,7,autogen,????,0.560,,,
151-A-bug-17894633-17894687,10,37,20,7,3,31,25,9,3,autogen,????,0.530,,,
151-A-bug-17894679-17894708,10,122,20,1,1,42,33,4,4,autogen,VERIFICATIONFAILED,55.529,,,
165-B-bug-10694756-10694905,10,47,20,20,8,77,70,6,3,autogen,TIMEOUT,10m,,,
165-B-bug-11900403-11900412,10,54,20,25,11,76,68,6,5,autogen,TIMEOUT,10m,,,
166-E-bug-10326734-10326753,10,122,20,25,12,40,33,10,6,autogen,TIMEOUT,10m,,,
166-E-bug-4707989-4708049,10,35,20,17,13,48,48,26,26,autogen,????,50.453,,,
168-A-bug-11849242-11849321,10,20,20,15,12,47,25,13,9,autogen,NOREPAIR,27.983,,,
168-A-bug-13501212-13501266,10,215,20,14,1,84,84,2,2,autogen,NOREPAIR,38.677,,,
168-A-bug-13551581-13551590,10,38,20,17,10,47,21,31,5,autogen,NOREPAIR,46.366,,,
168-A-bug-13674183-13674276,10,31,20,20,13,45,43,13,11,autogen,NOREPAIR,37.524,,,
168-A-bug-13674234-13674276,10,37,20,21,14,46,43,13,10,autogen,NOREPAIR,37.245,,,
168-A-bug-13795832-13795874,10,26,20,15,12,47,40,13,11,autogen,NOREPAIR,30.361,,,
168-A-bug-14134724-14134733,10,60,20,16,2,47,27,24,6,autogen,NOREPAIR,85.730,,,
168-A-bug-14205729-14205756,10,20,20,15,14,47,20,13,13,autogen,NOREPAIR,19.408,,,
168-A-bug-14205741-14205756,10,59,20,5,3,50,49,3,2,autogen,NOREPAIR,30.653,,,
168-A-bug-14356496-14356592,10,39,20,21,14,46,42,13,9,autogen,NOREPAIR,32.046,,,
168-A-bug-14356546-14356571,10,22,20,15,13,46,30,15,8,autogen,NOREPAIR,30.555,,,
168-A-bug-15592675-15592693,10,34,20,26,14,47,37,13,3,autogen,NOREPAIR,30.045,,,
168-A-bug-16455797-16455811,10,20,20,20,16,46,21,46,21,autogen,????,0.419,,,
168-A-bug-16670410-16670443,10,26,20,17,12,47,22,13,12,autogen,NOREPAIR,45.185,,,
168-A-bug-17083755-17083776,10,23,20,15,13,47,27,13,6,autogen,????,0.420,,,
168-A-bug-9305925-9305966,10,140,20,9,5,84,84,2,2,autogen,NOREPAIR,30.224,,,
17-A-bug-12616724-12616752,10,83,20,6,2,49,42,8,2,autogen,TIMEOUT,10m,,,
17-A-bug-13897450-13897498,10,23,20,14,10,67,5,4,4,autogen,????,1.254,,,
