124-A-bug-17030725-17030795,10,29,20,16,15,55,37,30,23,manual,NOREPAIR,530,,,,autogen,NOREPAIR,521,,,
124-A-bug-17030750-17030795,10,28,20,15,13,53,35,34,34,manual,REPAIR,19,35,50,50,autogen,NOREPAIR,231,,,
124-A-bug-17380518-17380581,10,23,20,15,15,55,35,16,3,manual,NOREPAIR,9,,,,autogen,NOREPAIR,16,,,
124-A-bug-17548415-17548499,10,26,20,17,15,55,39,16,6,manual,NOREPAIR,13,,,,autogen,NOREPAIR,22,,,
124-A-bug-17684079-17684114,10,26,20,18,17,55,35,16,3,manual,NOREPAIR,12,,,,autogen,NOREPAIR,17,,,
124-A-bug-18071122-18071213,10,20,20,20,20,53,47,47,47,manual,NOREPAIR,0,,,,autogen,NOREPAIR,25,,,
124-A-bug-18216134-18216197,10,22,20,14,14,53,50,35,35,manual,REPAIR,6,35,50,50,autogen,NOREPAIR,46,,,
129-E-bug-7156869-7156872,10,84,20,14,8,66,41,29,4,manual,NOREPAIR,463,,,,autogen,NOREPAIR,895,,,
131-C-bug-7900700-7900757,10,31,20,11,10,47,39,26,23,manual,TIMEOUT,0,,,,autogen,TIMEOUT,0,,,
131-C-bug-8286919-8286937,10,34,20,14,13,47,28,26,9,manual,NOREPAIR,0,,,,autogen,NOREPAIR,93,,,
136-B-bug-3414703-3414706,10,21,20,20,19,105,104,101,101,manual,NOREPAIR,235,,,,autogen,NOREPAIR,339,,,
140-A-bug-10658248-10658284,10,90,20,15,1,54,52,2,0,manual,REPAIR,527,34,46,46,autogen,NOREPAIR,5,,,
140-A-bug-13617983-13618000,10,89,20,0,0,52,37,2,2,manual,NOREPAIR,54,,,,autogen,NOREPAIR,14,,,
141-B-bug-10646503-10646512,10,89,20,3,2,153,150,4,3,manual,NOREPAIR,1565,,,,autogen,NOREPAIR,88,,,
141-B-bug-12854738-12854834,10,272,20,2,0,286,253,3,2,manual,REPAIR,22,143,148,148,autogen,REPAIR,14,133,148,148
141-B-bug-12854753-12854834,10,125,20,5,0,293,287,2,2,manual,REPAIR,932,148,148,148,autogen,REPAIR,22,144,148,148
141-B-bug-12854822-12854834,10,198,20,1,0,264,258,5,3,manual,REPAIR,13,148,148,148,autogen,REPAIR,16,148,148,148
142-B-bug-1041991-1042009,10,257,20,5,0,159,97,7,3,manual,NOREPAIR,265,,,,autogen,NOREPAIR,348,,,
142-B-bug-1042002-1042009,10,60,20,11,11,157,104,21,21,manual,REPAIR,16,88,101,101,autogen,NOREPAIR,11,,,
142-B-bug-1705195-1705323,10,46,20,12,11,159,141,15,11,manual,NOREPAIR,5,,,,autogen,NOREPAIR,11,,,
146-B-bug-1113178-1113179,10,295,20,12,3,52,44,10,2,manual,NOREPAIR,250,,,,autogen,NOREPAIR,1062,,,
146-B-bug-1117801-1117804,10,102,13,7,1,47,40,9,3,manual,NOREPAIR,947,,,,autogen,TIMEOUT,0,,,
146-B-bug-1117802-1117804,10,108,11,0,0,48,29,4,4,manual,TIMEOUT,0,,,,autogen,NOREPAIR,0,,,
146-B-bug-1126989-1126997,10,93,14,6,0,47,34,9,3,manual,NOREPAIR,31,,,,autogen,TIMEOUT,0,,,
146-B-bug-1147707-1147719,10,131,5,2,0,47,40,9,2,manual,NOREPAIR,51,,,,autogen,NOREPAIR,99,,,
146-B-bug-11540306-11540317,10,85,14,2,1,47,39,9,2,manual,NOREPAIR,3914,,,,autogen,NOREPAIR,0,,,
146-B-bug-1237616-1237618,10,97,13,2,1,47,41,9,3,manual,NOREPAIR,539,,,,autogen,TIMEOUT,0,,,
146-B-bug-16622388-16622448,10,24,20,19,15,51,18,10,8,manual,NOREPAIR,351,,,,autogen,TIMEOUT,0,,,
146-B-bug-17886329-17886431,10,113,20,4,3,74,67,5,2,manual,NOREPAIR,302,,,,autogen,NOREPAIR,1045,,,
146-B-bug-17968152-17968166,10,97,20,15,13,47,39,9,3,manual,NOREPAIR,274,,,,autogen,TIMEOUT,0,,,
146-B-bug-2035917-2035968,10,69,20,7,6,51,38,7,6,manual,NOREPAIR,56,,,,autogen,TIMEOUT,0,,,
146-B-bug-3823679-3823682,10,63,20,14,9,47,39,9,1,manual,REPAIR,912,41,43,43,autogen,NOREPAIR,0,,,
151-A-bug-17251538-17251548,10,29,20,19,15,31,9,15,7,manual,NOREPAIR,31,,,,autogen,NOREPAIR,80,,,
151-A-bug-17395141-17395169,10,27,20,0,0,54,12,2,2,manual,REPAIR,22,27,27,27,autogen,REPAIR,51,27,27,27
151-A-bug-17894582-17894687,10,38,20,10,7,31,14,9,9,manual,NOREPAIR,11,,,,autogen,NOREPAIR,125,,,
151-A-bug-17894633-17894687,10,47,20,9,6,31,20,9,0,manual,NOREPAIR,53,,,,autogen,NOREPAIR,768,,,
151-A-bug-17894679-17894708,10,34,20,0,0,42,38,4,0,manual,REPAIR,427,24,27,27,autogen,TIMEOUT,0,,,
165-B-bug-10694756-10694905,10,27,20,16,16,77,6,6,6,manual,NOREPAIR,93,,,,autogen,TIMEOUT,0,,,
165-B-bug-11900403-11900412,10,36,20,15,13,76,72,6,6,manual,NOREPAIR,713,,,,autogen,NOREPAIR,722,,,
166-E-bug-10326734-10326753,10,86,20,12,12,40,40,10,10,manual,REPAIR,330,36,36,36,autogen,REPAIR,393,36,36,36
166-E-bug-4707989-4708049,10,46,20,20,14,48,48,26,26,manual,NOREPAIR,632,,,,autogen,TIMEOUT,0,,,
168-A-bug-11849242-11849321,10,26,20,20,17,47,29,13,3,manual,NOREPAIR,54,,,,autogen,NOREPAIR,55,,,
168-A-bug-13501212-13501266,10,57,20,6,5,84,80,2,2,manual,NOREPAIR,59,,,,autogen,NOREPAIR,92,,,
168-A-bug-13551581-13551590,10,35,20,17,15,47,38,31,22,manual,NOREPAIR,90,,,,autogen,NOREPAIR,11,,,
168-A-bug-13674183-13674276,10,25,20,16,16,45,36,13,13,manual,NOREPAIR,42,,,,autogen,NOREPAIR,113,,,
168-A-bug-13674234-13674276,10,26,20,16,15,46,14,13,3,manual,NOREPAIR,40,,,,autogen,NOREPAIR,114,,,
168-A-bug-13795832-13795874,10,22,20,17,17,47,16,13,13,manual,NOREPAIR,23,,,,autogen,NOREPAIR,10,,,
168-A-bug-14134724-14134733,10,39,20,15,12,47,24,24,8,manual,NOREPAIR,161,,,,autogen,NOREPAIR,147,,,
168-A-bug-14205729-14205756,10,26,20,16,15,47,42,13,10,manual,NOREPAIR,5,,,,autogen,NOREPAIR,31,,,
168-A-bug-14205741-14205756,10,72,20,6,6,50,41,3,3,manual,REPAIR,22,31,43,43,autogen,REPAIR,111,43,43,43
