1-A-bug-18353198-18353306,10,23,20,18,18,29,29,5,5,autogen,NOREPAIR,19,,,
104-A-bug-11691772-11691810,10,2245,14,89,6,29,28,3,2,autogen,REPAIR,527,24,25,25
104-A-bug-11691779-11691810,10,2235,11,5,2,48,48,2,2,autogen,REPAIR,844,25,25,25
104-A-bug-11691794-11691810,10,41,20,17,17,32,31,5,4,autogen,NOREPAIR,11,,,
104-A-bug-11939068-11939085,10,2190,13,3,2,47,47,2,2,autogen,REPAIR,30,24,24,24
104-A-bug-13139540-13139570,10,44,20,17,17,32,29,5,5,autogen,NOREPAIR,13,,,
104-A-bug-14940180-14940203,10,2215,11,4,4,48,48,2,2,autogen,REPAIR,16,25,25,25
104-A-bug-7900405-7900409,10,2228,9,4,4,48,48,2,2,autogen,NOREPAIR,4,,,
11-B-bug-990723-990735,10,330,20,22,15,34,34,3,3,autogen,NOREPAIR,605,,,
110-A-bug-17970724-17970798,10,49,20,15,10,41,34,8,2,autogen,NOREPAIR,17,,,
110-A-bug-17999868-17999967,10,51,20,17,10,41,35,7,2,autogen,REPAIR,20,29,34,34
110-A-bug-17999892-17999967,10,2261,3,389,0,42,32,10,0,autogen,REPAIR,414,20,34,34
110-A-bug-18060949-18061008,10,76,20,18,11,41,34,8,2,autogen,TIMEOUT,0,,,
110-A-bug-18223116-18223122,10,118,20,12,7,38,27,13,3,autogen,NOREPAIR,7,,,
110-A-bug-18286939-18287093,10,24,20,18,18,38,26,6,6,autogen,REPAIR,12,20,34,34
110-A-bug-18286951-18287093,10,27,20,18,17,38,26,6,6,autogen,REPAIR,17,25,34,34
112-B-bug-1097813-1097818,10,104,20,0,1,38,25,14,3,autogen,NOREPAIR,13,,,
112-B-bug-668250-668255,10,336,20,17,17,36,22,2,2,autogen,REPAIR,24,28,33,33
112-B-bug-770703-770719,10,2119,19,4,0,42,39,5,2,autogen,REPAIR,24,29,33,33
112-B-bug-861875-861881,10,177,20,19,18,36,22,13,13,autogen,REPAIR,126,20,33,33
113-C-bug-683942-684032,10,41,20,15,14,66,63,4,2,autogen,NOREPAIR,28,,,
113-C-bug-684028-684032,10,37,20,18,17,91,77,6,6,autogen,NOREPAIR,222,,,
