4-A-bug-18258396-18258457,10,13108,2,9827,0,22,13,11,2,autogen,TIMEOUT,0,,,
4-A-bug-18258406-18258457,10,29,20,13,12,15,11,1,1,autogen,REPAIR,22,10,10,10
4-A-bug-18276798-18276823,10,1739,20,14,12,25,25,2,2,autogen,NOREPAIR,13,,,
4-A-bug-18279795-18282404,10,13300,3,89,0,25,25,2,2,autogen,REPAIR,17,20,20,20
4-A-bug-18300085-18300106,10,2894,20,20,13,25,25,2,2,autogen,NOREPAIR,4,,,
4-A-bug-18331331-18331412,10,32,20,9,9,25,15,2,2,autogen,NOREPAIR,3,,,
4-A-bug-18339931-18340109,10,14548,3,103,0,25,25,2,2,autogen,NOREPAIR,13,,,
4-A-bug-18353377-18353474,10,13903,3,99,0,25,25,2,2,autogen,NOREPAIR,0,,,
47-A-bug-15929232-15929294,10,14760,8,1594,1,75,48,29,2,autogen,REPAIR,36,43,71,71
47-A-bug-15929255-15929294,10,14811,6,843,2,75,53,25,3,autogen,NOREPAIR,10,,,
47-A-bug-17471702-17471768,10,14789,3,1005,1,75,53,25,3,autogen,REPAIR,19,48,71,71
47-A-bug-17471716-17471768,10,23,20,18,18,75,42,49,36,autogen,NOREPAIR,138,,,
478-A-bug-18101429-18101578,10,13139,6,64,3,22,22,2,2,autogen,TIMEOUT,0,,,
478-A-bug-18260254-18260269,10,6353,20,35,6,22,22,2,2,autogen,NOREPAIR,30,,,
478-C-bug-11681252-11681268,10,134,20,13,10,57,53,6,2,autogen,NOREPAIR,792,,,
478-C-bug-13010069-13010382,10,180,20,25,10,63,63,2,2,autogen,REPAIR,28,37,42,42
479-E-bug-8590282-8590670,10,21,20,1,1,78,26,21,3,autogen,NOREPAIR,361,,,
479-E-bug-9548449-9548462,10,409,20,21,4,89,43,5,5,autogen,TIMEOUT,0,,,
480-C-bug-8372581-8372586,10,26,20,5,5,75,40,40,40,autogen,TIMEOUT,0,,,
483-B-bug-9092564-9092589,10,57,20,19,18,59,57,12,10,autogen,NOREPAIR,1,,,
483-B-bug-9378742-9378770,10,158,20,122,14,52,35,19,2,autogen,NOREPAIR,816,,,
483-B-bug-9610580-9610735,10,36,20,17,13,54,26,40,12,autogen,TIMEOUT,0,,,
485-A-bug-13178230-13186933,10,460,6,16,0,44,44,2,2,autogen,NOREPAIR,954,,,
485-A-bug-14797884-14797928,10,143,20,25,11,38,35,6,4,autogen,TIMEOUT,0,,,
49-B-bug-1338572-1338580,10,413,20,95,17,70,57,19,6,autogen,NOREPAIR,875,,,
492-A-bug-16553332-16553348,10,2187,20,163,9,28,22,9,3,autogen,REPAIR,132,25,25,25
492-A-bug-17190485-17190512,10,913,20,13,13,28,28,3,3,autogen,NOREPAIR,458,,,
492-A-bug-17378673-17378701,10,51,20,18,18,28,28,16,16,autogen,NOREPAIR,514,,,
492-A-bug-17556761-17556796,10,12706,4,370,1,33,28,7,2,autogen,REPAIR,119,25,25,25
492-A-bug-17810749-17810764,10,13223,2,1920,0,28,23,7,2,autogen,NOREPAIR,120,,,
492-A-bug-18201113-18201470,10,109,20,10,6,34,26,6,1,autogen,NOREPAIR,243,,,
